CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,TNR_SF,TNR_LF,DATA_QUALITY_FLAG,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,CHARACTERISTIC_NOTE,C1_COUNT_TOTAL,SYMBOL,C2_COUNT_MEN+,SYMBOL,C3_COUNT_WOMEN+,SYMBOL,C10_RATE_TOTAL,SYMBOL,C11_RATE_MEN+,SYMBOL,C12_RATE_WOMEN+,SYMBOL
2021,2021A000259,59,Province,British Columbia,3.5,4.9,20000,161,"    $30,000 to $39,999",,515780,,222825,,292955,,12.7,,11.2,,14,
2021,2021A000259,59,Province,British Columbia,3.5,4.9,20000,162,"    $40,000 to $49,999",,442130,,198985,,243150,,10.8,,10,,11.6,
2021,2021A000259,59,Province,British Columbia,3.5,4.9,20000,163,"    $50,000 to $59,999",,363335,,172380,,190950,,8.9,,8.7,,9.1,
2021,2021A000259,59,Province,British Columbia,3.5,4.9,20000,164,"    $60,000 to $69,999",,284130,,149100,,135030,,7,,7.5,,6.5,
2021,2021A000259,59,Province,British Columbia,3.5,4.9,20000,165,"    $70,000 to $79,999",,221755,,125565,,96190,,5.4,,6.3,,4.6,
2021,2021A000259,59,Province,British Columbia,3.5,4.9,20000,166,"    $80,000 to $89,999",,172110,,101195,,70915,,4.2,,5.1,,3.4,
2021,2021A000259,59,Province,British Columbia,3.5,4.9,20000,167,"    $90,000 to $99,999",,136185,,81180,,55005,,3.3,,4.1,,2.6,
2021,2021A000259,59,Province,British Columbia,3.5,4.9,20000,168,"    $100,000 and over",,453550,,307905,,145645,,11.1,,15.5,,7,
2021,2021A000259,59,Province,British Columbia,3.5,4.9,20000,169,"      $100,000 to $149,999",,297440,,194595,,102850,,7.3,,9.8,,4.9,
2021,2021A000259,59,Province,British Columbia,3.5,4.9,20000,170,"      $150,000 and over",,156105,,113310,,42800,,3.8,,5.7,,2,
2021,2021A000246,46,Province,Manitoba,3.5,5.6,20000,159,"    $10,000 to $19,999",,118240,,49740,,68505,,11.6,,9.9,,13.2,
2021,2021A000246,46,Province,Manitoba,3.5,5.6,20000,160,"    $20,000 to $29,999",,161905,,68870,,93030,,15.8,,13.6,,17.9,
2021,2021A000246,46,Province,Manitoba,3.5,5.6,20000,161,"    $30,000 to $39,999",,138225,,60295,,77930,,13.5,,11.9,,15,
2021,2021A000246,46,Province,Manitoba,3.5,5.6,20000,162,"    $40,000 to $49,999",,124755,,58530,,66225,,12.2,,11.6,,12.8,
2021,2021A000246,46,Province,Manitoba,3.5,5.6,20000,163,"    $50,000 to $59,999",,97815,,49730,,48085,,9.6,,9.9,,9.3,
2021,2021A000246,46,Province,Manitoba,3.5,5.6,20000,164,"    $60,000 to $69,999",,72980,,40630,,32350,,7.1,,8,,6.2,
2021,2021A000246,46,Province,Manitoba,3.5,5.6,20000,165,"    $70,000 to $79,999",,53950,,31710,,22240,,5.3,,6.3,,4.3,
2021,2021A000246,46,Province,Manitoba,3.5,5.6,20000,166,"    $80,000 to $89,999",,41095,,24190,,16905,,4,,4.8,,3.3,
2021,2021A000246,46,Province,Manitoba,3.5,5.6,20000,167,"    $90,000 to $99,999",,32150,,18190,,13960,,3.1,,3.6,,2.7,
2021,2021A000246,46,Province,Manitoba,3.5,5.6,20000,168,"    $100,000 and over",,80510,,54380,,26125,,7.9,,10.8,,5,
2021,2021A000246,46,Province,Manitoba,3.5,5.6,20000,169,"      $100,000 to $149,999",,57310,,37335,,19975,,5.6,,7.4,,3.9,
2021,2021A000246,46,Province,Manitoba,3.5,5.6,20000,170,"      $150,000 and over",,23195,,17045,,6155,,2.3,,3.4,,1.2,
2021,2021A000213,13,Province,New Brunswick,3.2,4.3,0,159,"    $10,000 to $19,999",,79855,,31090,,48765,,12.7,,10.1,,15.2,
2021,2021A000213,13,Province,New Brunswick,3.2,4.3,0,160,"    $20,000 to $29,999",,111820,,48675,,63140,,17.8,,15.8,,19.7,
2021,2021A000213,13,Province,New Brunswick,3.2,4.3,0,161,"    $30,000 to $39,999",,95545,,44490,,51060,,15.2,,14.5,,15.9,
2021,2021A000213,13,Province,New Brunswick,3.2,4.3,0,162,"    $40,000 to $49,999",,84895,,40935,,43955,,13.5,,13.3,,13.7,
2021,2021A000213,13,Province,New Brunswick,3.2,4.3,0,163,"    $50,000 to $59,999",,59310,,31400,,27910,,9.4,,10.2,,8.7,
2021,2021A000213,13,Province,New Brunswick,3.2,4.3,0,164,"    $60,000 to $69,999",,42020,,24575,,17445,,6.7,,8,,5.4,
2021,2021A000213,13,Province,New Brunswick,3.2,4.3,0,165,"    $70,000 to $79,999",,30185,,17925,,12260,,4.8,,5.8,,3.8,
2021,2021A000213,13,Province,New Brunswick,3.2,4.3,0,166,"    $80,000 to $89,999",,23035,,12535,,10500,,3.7,,4.1,,3.3,
2021,2021A000213,13,Province,New Brunswick,3.2,4.3,0,167,"    $90,000 to $99,999",,15420,,8855,,6565,,2.5,,2.9,,2,
2021,2021A000213,13,Province,New Brunswick,3.2,4.3,0,168,"    $100,000 and over",,37700,,26565,,11135,,6,,8.6,,3.5,
2021,2021A000213,13,Province,New Brunswick,3.2,4.3,0,169,"      $100,000 to $149,999",,26865,,18500,,8365,,4.3,,6,,2.6,
